NAME,TRANSFER-FACTOR-SIZE,TRANSFER-FACTOR-TIME,MAKESPAN,N,T,STATUS,CONFIG,DISTRIBUTION,RUN_COUNT,RND_COUNT
aggregation0,0.46314674164554787,0.8104887097095983,151329.87999999998,0,0,SUCCESS,site_conf_2_site,2,3,7
aggregation0,0.4837912706674906,0.8844378318582566,142838.56249999994,0,0,SUCCESS,site_conf_2_site,2,3,8
aggregation0,0.5332764071004823,0.8383233900872337,167977.29499999998,0,0,SUCCESS,site_conf_2_site,2,3,9
aggregation0,0.5418079086199128,0.9102026884972968,168995.58249999996,0,0,SUCCESS,site_conf_2_site,2,3,10
aggregation0,0.4786988059579412,0.8434901730789909,138190.275,0,0,SUCCESS,site_conf_2_site,2,3,11
aggregation0,0.4955161163908359,0.8839711669698495,152232.22499999998,0,0,SUCCESS,site_conf_2_site,2,3,12
aggregation0,0.4933487445142269,0.8079484302138807,162183.745,0,0,SUCCESS,site_conf_2_site,2,3,13
aggregation0,0.5020973750158478,0.8772717311389462,156672.5675,0,0,SUCCESS,site_conf_2_site,2,3,14
aggregation0,0.5533912316830851,0.8683573653924295,179958.86,0,0,SUCCESS,site_conf_2_site,2,3,15
aggregation0,0.5843138193566785,0.948336614842539,178926.79249999995,0,0,SUCCESS,site_conf_2_site,2,3,16
aggregation0,0.44891080628695634,0.8126685048828061,147306.87499999994,0,0,SUCCESS,site_conf_2_site,2,3,17
aggregation0,0.5633506183441409,0.9582495284525987,167095.255,0,0,SUCCESS,site_conf_2_site,2,3,18
aggregation0,0.5151114078543285,0.7862151072727199,158851.0025,0,0,SUCCESS,site_conf_2_site,2,3,19
aggregation0,0.4363529759772196,0.8247782412939285,149070.7975,0,0,SUCCESS,site_conf_2_site,2,3,20
aggregation0,0.5555680023706012,0.9412309591471356,180472.085,0,0,SUCCESS,site_conf_2_site,2,3,21
aggregation0,0.5515112664585161,0.8906842193217167,173684.27499999997,0,0,SUCCESS,site_conf_2_site,2,3,22
aggregation0,0.506454271615145,0.8583702055569354,162832.1775,0,0,SUCCESS,site_conf_2_site,2,3,23
aggregation0,0.45520792305022584,0.7847362476667302,153240.77499999997,0,0,SUCCESS,site_conf_2_site,2,3,24
aggregation0,0.5196856917299583,0.9969578065249717,145636.72749999995,0,0,SUCCESS,site_conf_2_site,2,3,25
aggregation0,0.47719226069361564,0.8740682999511152,146002.37999999995,0,0,SUCCESS,site_conf_2_site,2,3,26
aggregation0,0.4770209698674257,0.8897135795056667,146606.00249999997,0,0,SUCCESS,site_conf_2_site,2,3,27
aggregation0,0.5287800118426146,0.8818796239494461,172793.69999999998,0,0,SUCCESS,site_conf_2_site,2,3,28
aggregation0,0.4931155340999504,0.8267172900792386,158944.83499999996,0,0,SUCCESS,site_conf_2_site,2,3,29
aggregation0,0.35595170913556584,0.7416068391179602,141377.6,0,0,SUCCESS,site_conf_2_site,3,4,-1
aggregation0,0.5172843382295416,0.8890345298864076,153220.18499999994,0,0,SUCCESS,site_conf_2_site,3,4,0
aggregation0,0.5110842573004853,0.910532700485583,152786.28749999998,0,0,SUCCESS,site_conf_2_site,3,4,1
aggregation0,0.4988363007626598,0.8312925417105218,158282.30499999996,0,0,SUCCESS,site_conf_2_site,3,4,2
aggregation0,0.47705290387969906,0.8675875121712309,149330.96999999997,0,0,SUCCESS,site_conf_2_site,3,4,3
aggregation0,0.5493519722336875,0.8487802495283211,172529.07999999996,0,0,SUCCESS,site_conf_2_site,3,4,4
aggregation0,0.49561648237909633,0.81932221166312,163659.48249999995,0,0,SUCCESS,site_conf_2_site,3,4,5
