NAME,TRANSFER-FACTOR,N,T,STATUS,CONFIG,DISTRIBUTION
aggregation0,0.1782938150400648,1,60,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,10,0,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,10,1,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,10,10,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,10,60,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,100,0,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,100,1,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,100,10,SUCCESS,site_conf_3_site_large,4
aggregation0,0.1782938150400648,100,60,SUCCESS,site_conf_3_site_large,4
aggregation0,0.20491819863660637,0,0,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,0,1,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,0,10,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,0,60,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,1,0,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,1,1,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,1,10,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,1,60,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,10,0,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,10,1,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,10,10,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,10,60,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,100,0,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,100,1,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,100,10,SUCCESS,site_conf_4_site,0
aggregation0,0.20491819863660637,100,60,SUCCESS,site_conf_4_site,0
aggregation0,0.20299004716228786,0,0,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,0,1,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,0,10,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,0,60,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,1,0,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,1,1,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,1,10,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,1,60,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,10,0,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,10,1,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,10,10,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,10,60,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,100,0,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,100,1,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,100,10,SUCCESS,site_conf_4_site,1
aggregation0,0.20299004716228786,100,60,SUCCESS,site_conf_4_site,1
aggregation0,0.18429297555999288,0,0,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,0,1,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,0,10,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,0,60,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,1,0,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,1,1,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,1,10,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,1,60,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,10,0,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,10,1,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,10,10,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,10,60,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,100,0,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,100,1,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,100,10,SUCCESS,site_conf_4_site,2
aggregation0,0.18429297555999288,100,60,SUCCESS,site_conf_4_site,2
aggregation0,0.21569826247371063,0,0,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,0,1,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,0,10,SUCCESS,site_conf_4_site,3
aggregation0,0.21569826247371063,0,60,SUCCESS,site_conf_4_site,3
